Summary,Work Type,Issue ID,Parent,Description,Priority,Labels
M6.5 — Incorporar OCR local,Story,52,47,"Objetivo:
Obtener texto buscable para PDF escaneado, PNG, JPEG y TIFF sin texto seleccionable.

Criterios de aceptación:
- OCR se ejecuta solo localmente.
- Tiene límites de tamaño/páginas/tiempo.
- Fallo OCR queda visible y aislado.
- Texto OCR nunca forma parte del payload remoto de búsqueda.

Pruebas TDD:
- Fixtures de imagen/PDF escaneado.
- Test timeout/límite OCR.
- E2E recuperación por texto OCR.

Dependencias:
M6.1 y decisión/selección del motor OCR local.",High,lcia-m6-extraction-ocr
M6.6 — Publicar actualizaciones atómicas del índice,Task,53,47,"Objetivo:
Evitar que las búsquedas observen mezclas de versiones durante reextracción/reindexación.

Criterios de aceptación:
- Nueva versión se construye fuera de la entrada visible.
- Se publica solo tras validar estabilidad del archivo.
- La versión previa se conserva si la nueva falla.
- Referencias previas se invalidan tras publicación válida.

Pruebas TDD:
- Integration test reindex exitoso/fallido.
- Test archivo cambia durante extracción.
- Test búsqueda concurrente.

Dependencias:
M2.6 y M6.2-M6.5 según formato.",High,lcia-m6-extraction-ocr
M6.7 — Aislar límites y archivos hostiles,Task,54,47,"Objetivo:
Centralizar límites de recursos para enumeración, extracción, OCR e indexación.

Criterios de aceptación:
- Hay límites explícitos y configurables.
- Excederlos cancela el documento, no toda la fuente.
- Temporales se limpian.
- Errores se minimizan en telemetría.

Pruebas TDD:
- Tests de límites por tamaño/tiempo/descompresión.
- Test cleanup tras fallo.
- Test fuente sigue utilizable.

Dependencias:
M6.1.",High,lcia-m6-extraction-ocr
M6.8 — E2E de búsqueda por contenido local,Story,55,47,"Objetivo:
Demostrar recuperación por contenido extraído/OCR manteniendo minimización remota.

Criterios de aceptación:
- Consulta localiza documento cuyo nombre no contiene la pista.
- Se distingue señal de match por contenido/OCR sin enviar fragmento.
- El remoto no recibe texto.
- Fallos de un documento no falsean cobertura de otros.

Pruebas TDD:
- E2E PDF text.
- E2E DOCX/XLSX.
- E2E OCR.
- Test inspección de payload remoto.

Dependencias:
M6.2-M6.7.",Highest,lcia-m6-extraction-ocr
M7 — Evaluación reproducible de recuperación,Epic,56,,"Objetivo:
Medir la calidad real del recuperador y cerrar las decisiones que solo pueden resolverse con datos.

Gate de salida:
Existe un dataset versionado, runner reproducible, métricas de recuperación y un gate explícito CONTINUE/PIVOT/STOP; UNEQUIVOCAL solo se habilita con evidencia aprobada.

Política de ejecución:
- El hito se cierra por evidencia ejecutable, no por documentación.
- Las decisiones de seguridad no resueltas bloquean; las decisiones técnicas reversibles no.
- Cada ticket hijo debe terminar con tests y una PR/revisión autocontenida.",High,lcia-m7-evaluation
M7.1 — Definir esquema del dataset de evaluación,Task,57,56,"Objetivo:
Versionar casos representativos con consulta, contexto autorizado, objetivo y resultado esperado.

Criterios de aceptación:
- Cada caso incluye consulta, tenant/actor de prueba, fuentes autorizadas, objetivo o inexistencia, alternativas válidas y resultado esperado.
- Incluye casos ambiguos, denegados, indisponibles y OCR.
- No se introducen datos reales no autorizados.

Pruebas TDD:
- Validación automática del schema.
- Test dataset inválido.
- Test referencia a documento inexistente en fixtures.

Dependencias:
M2 y M3 suficientemente estables.",High,lcia-m7-evaluation
M7.2 — Crear runner de evaluación reproducible,Task,58,56,"Objetivo:
Ejecutar el mismo dataset contra una versión concreta del recuperador.

Criterios de aceptación:
- Runner fija configuración/versiones relevantes.
- Resultados son serializables y comparables.
- Un fallo técnico se separa de un fallo de recuperación.
- Puede ejecutarse en CI sobre dataset sintético.

Pruebas TDD:
- Tests del runner.
- Golden test con dataset pequeño.
- Test de ejecución repetida determinista donde aplique.

Dependencias:
M7.1.",High,lcia-m7-evaluation
M7.3 — Calcular métricas de recuperación,Task,59,56,"Objetivo:
Medir success@k, precision@k, latencia y tasas funcionales sin mezclar indisponibilidad con calidad.

Criterios de aceptación:
- Se calcula success@k.
- Se calcula precision@k cuando procede.
- Se informa latencia.
- Se separan ambigüedad, ninguno, denegación y PARTIAL.
- Los resultados son exportables.

Pruebas TDD:
- Tests de métricas con dataset controlado.
- Casos límites k=1 y sin candidato.

Dependencias:
M7.2.",Medium,lcia-m7-evaluation
M7.4 — Definir evidencia suficiente por tipo documental,Story,60,56,"Objetivo:
Cerrar con datos el criterio observable para diferenciar un candidato inequívoco de varios candidatos plausibles.

Criterios de aceptación:
- La evidencia se expresa por categorías/procedencia, no por score único.
- Ranking por sí solo no declara identidad.
- Los criterios quedan versionados y aprobados.
- Los casos límite del dataset justifican la decisión.

Pruebas TDD:
- Tests de policy para casos inequívocos/ambiguos/contradictorios.
- Pruebas contra dataset etiquetado.

Dependencias:
M7.1-M7.3 y corpus/fixtures suficientes.

Restricciones de arquitectura:
- No fijar un umbral arbitrario sin evidencia.",Highest,lcia-m7-evaluation
M7.5 — Implementar CandidateResolutionPolicy real,Task,61,56,"Objetivo:
Trasladar el criterio aprobado a una policy determinista separada del ranking.

Criterios de aceptación:
- UNEQUIVOCAL exige autorización, vigencia, integridad, evidencia suficiente, ausencia de alternativas materiales y cobertura válida.
- Contradicción relevante impide UNEQUIVOCAL.
- Gateway obligatorio pendiente impide UNEQUIVOCAL.
- La policy devuelve razones categóricas.

Pruebas TDD:
- Unit tests derivados de M7.4.
- Regression tests sobre dataset.
- Test PARTIAL.

Dependencias:
M7.4 y M5.6.",Highest,lcia-m7-evaluation
M7.6 — Emitir informe de decisión del piloto técnico,Story,62,56,"Objetivo:
Tomar una decisión CONTINUE/PIVOT/STOP basada en métricas y riesgos residuales.

Criterios de aceptación:
- Informe identifica versión evaluada.
- Incluye métricas y fallos por categoría.
- Distingue calidad de recuperación, seguridad y disponibilidad.
- La decisión está justificada y no añade capacidades fuera del alcance.

Pruebas TDD:
- Reejecutar runner desde cero y verificar reproducibilidad.
- Comprobar que el informe corresponde al commit/configuración evaluados.

Dependencias:
M7.3-M7.5.",High,lcia-m7-evaluation
M8 — Obtención explícita y efímera de documentos,Epic,63,,"Objetivo:
Permitir descargar un candidato vigente como un flujo separado, reautorizado, cifrado y con tránsito temporal sin persistencia documental remota.

Gate de salida:
Una descarga E2E valida permisos y versión en ambos límites, verifica integridad, entrega una sola vez y elimina buffers en éxito, error, cancelación o expiración.

Política de ejecución:
- El hito se cierra por evidencia ejecutable, no por documentación.
- Las decisiones de seguridad no resueltas bloquean; las decisiones técnicas reversibles no.
- Cada ticket hijo debe terminar con tests y una PR/revisión autocontenida.",High,lcia-m8-transfer
M8.1 — Modelar TransferRequest y ciclo de vida,Task,64,63,"Objetivo:
Separar formalmente búsqueda de obtención documental.

Criterios de aceptación:
- TransferRequest referencia un candidato/contexto concreto.
- Tiene correlación, idempotencia, expiración y estado.
- No reutiliza la búsqueda como permiso.
- No contiene ruta local.

Pruebas TDD:
- Unit tests de invariantes/estados.
- Test idempotencia.
- Test expiración.

Dependencias:
M2.6, M3 y M5.",High,lcia-m8-transfer
M8.2 — Reautorizar obtención en remoto,Story,65,63,"Objetivo:
Comprobar actor, tenant, membership y source grant actuales antes de solicitar bytes.

Criterios de aceptación:
- Grant revocado bloquea.
- Tenant cambiado bloquea.
- Referencia stale bloquea o deriva a nueva búsqueda.
- La decisión se audita de forma minimizada.

Pruebas TDD:
- Integration tests allowed/denied/revoked/stale.
- Cross-tenant test.

Dependencias:
M8.1 y M4.3.",Highest,lcia-m8-transfer
M8.3 — Reautorizar y resolver referencia en gateway,Story,66,63,"Objetivo:
Volver a comprobar contexto y versión justo antes de abrir el archivo local.

Criterios de aceptación:
- Gateway resuelve referencia localmente.
- Archivo cambiado/borrado no se entrega silenciosamente.
- Fuente pausada/revocada bloquea.
- No se exploran rutas alternativas.

Pruebas TDD:
- Integration tests changed/deleted/revoked.
- Test referencia manipulada.

Dependencias:
M8.1, M2.6 y M3.6.",Highest,lcia-m8-transfer
M8.4 — Implementar buffer temporal aislado,Task,67,63,"Objetivo:
Introducir tránsito remoto acotado que no se comporte como almacenamiento documental.

Criterios de aceptación:
- Buffer tiene tamaño/TTL.
- Está aislado por tenant/transfer.
- No participa en backups/índices/analítica.
- Existe limpieza de huérfanos.
- No se conserva el contenido tras cierre.

Pruebas TDD:
- Integration test TTL.
- Test cleanup éxito/fallo/cancel.
- Test aislamiento entre tenants.

Dependencias:
M8.1 y decisión técnica de almacenamiento temporal.",High,lcia-m8-transfer
M8.5 — Transferir y verificar integridad extremo a extremo,Story,68,63,"Objetivo:
Mover bytes de forma cifrada y declarar disponibilidad solo tras verificar tamaño/hash.

Criterios de aceptación:
- Gateway calcula hash.
- Remoto verifica tamaño/hash.
- Diferencia falla cerrado.
- Transferencia interrumpida purga parciales.
- El resultado queda correlacionado.

Pruebas TDD:
- E2E transferencia válida.
- Test hash mismatch.
- Test interrupción.
- Test tamaño máximo.

Dependencias:
M8.3-M8.4.",Highest,lcia-m8-transfer
M8.6 — Entregar documento con acceso de un solo uso,Story,69,63,"Objetivo:
Permitir que el navegador autorizado consuma la transferencia sin convertirla en URL reutilizable indefinidamente.

Criterios de aceptación:
- Entrega es autenticada.
- Token/canal es de un solo uso o equivalente seguro.
- Expira.
- Segunda reutilización se rechaza.
- Completar activa limpieza.

Pruebas TDD:
- Integration tests one-use/expired.
- E2E navegador simulado.

Dependencias:
M8.5.",High,lcia-m8-transfer
M8.7 — Propagar cancelación y limpieza,Task,70,63,"Objetivo:
Garantizar que cancelar/expirar detenga gateway, subida, buffer y entrega cuando sea posible.

Criterios de aceptación:
- Cancelación llega a componentes activos.
- Buffers parciales se eliminan.
- Estado final no se confunde con éxito.
- Cleanup huérfano cubre caídas.

Pruebas TDD:
- Tests cancel en fases distintas.
- Test crash/recovery del cleanup.

Dependencias:
M8.4-M8.6.",High,lcia-m8-transfer
M8.8 — E2E de obtención segura,Story,71,63,"Objetivo:
Demostrar búsqueda→selección→reauthorización→transferencia→entrega→borrado.

Criterios de aceptación:
- El usuario autorizado obtiene el documento correcto.
- Un usuario sin grant no obtiene bytes.
- Cambio de archivo se detecta.
- Hash se verifica.
- No queda buffer tras cierre.

Pruebas TDD:
- E2E happy path.
- E2E revoked grant.
- E2E stale file.
- E2E cleanup assertion.

Dependencias:
M8.1-M8.7.",Highest,lcia-m8-transfer
M9 — POST-MVP — Capacidades LLM controladas,Epic,72,,"Objetivo:
Introducir IA generativa solo después de validar la recuperación, separando interpretación de consulta y respuesta factual.

Gate de salida:
No forma parte del gate del MVP documental de recuperación. Cada capacidad LLM se activa detrás de puertos, políticas de minimización, evidencia y coste explícitos.

Política de ejecución:
- El hito se cierra por evidencia ejecutable, no por documentación.
- Las decisiones de seguridad no resueltas bloquean; las decisiones técnicas reversibles no.
- Cada ticket hijo debe terminar con tests y una PR/revisión autocontenida.",Low,lcia-post-mvp-llm
M9.1 — Interpretar consulta con LLM como pistas no autoritativas,Story,73,72,"Objetivo:
Usar un LLM para extraer hints de tipo, entidad, fecha o tema sin conceder permisos.

Criterios de aceptación:
- Salida es estructurada.
- Hints no amplían scope.
- Fallo/JSON inválido no permite búsqueda fuera de políticas.
- Existe fallback determinista o resultado controlado.

Pruebas TDD:
- Unit tests con fake.
- Tests prompt→schema.
- Test hint no autorizado.

Dependencias:
M7 completado y decisión CONTINUE.",Low,lcia-post-mvp-llm
M9.2 — Definir política de minimización para evidencia enviada a LLM,Task,74,72,"Objetivo:
Determinar qué contenido puede salir del gateway/remoto hacia un modelo y bajo qué condiciones.

Criterios de aceptación:
- Política explícita y versionada.
- Define proveedor/localidad permitidos.
- Define contenido máximo y retención.
- Sin política aprobada no se envía contenido.

Pruebas TDD:
- Tests de minimización.
- Test bloqueo sin policy.

Dependencias:
M7 completado.",Low,lcia-post-mvp-llm
M9.3 — Generar respuesta factual estructurada con evidencia,Story,75,72,"Objetivo:
Permitir respuestas sobre contenido únicamente cuando cada afirmación pueda vincularse a evidencia autorizada.

Criterios de aceptación:
- Cada claim tiene evidencia.
- Sin evidencia suficiente no hay COMPLETED factual.
- Contradicciones escalan.
- Localizar documento no basta para afirmar hechos.

Pruebas TDD:
- Unit tests claims/evidence.
- E2E factual con fixtures.
- Test contradicción/no evidence.

Dependencias:
M9.2 y diseño factual específico.",Low,lcia-post-mvp-llm
M9.4 — Registrar coste y metadatos LLM,Task,76,72,"Objetivo:
Añadir control de coste, latencia y proveedor sin acoplar dominio al SDK.

Criterios de aceptación:
- LlmClient es puerto.
- Coste no nulo y trazable.
- PreCostGuard puede bloquear antes de llamar.
- Proveedor caído produce fallo técnico controlado.

Pruebas TDD:
- Tests fake cost.
- Test budget exceeded.
- Test provider unavailable.

Dependencias:
M9.1 o M9.3.",Low,lcia-post-mvp-llm
M9.5 — Añadir guardas de contenido no confiable,Task,77,72,"Objetivo:
Detectar y tratar señales de prompt injection/RAG poisoning antes de completar respuestas factuales.

Criterios de aceptación:
- Documentos se tratan como entrada no confiable.
- Señales no deciden por sí solas; policy determina resultado.
- Intento claro de bypass puede bloquear.
- Eventos se auditan de forma minimizada.

Pruebas TDD:
- Tests de inyección.
- Test bypass.
- Test contenido inocuo.

Dependencias:
M9.3 y diseño de políticas.",Low,lcia-post-mvp-llm
